Using config local-gluetools-config.xml
sequenceID	gb_isolate	gb_host	gb_collection_year	gb_collection_month	gb_collection_month_day	gb_pubmed_id	gb_country_short	gb_place_sampled	gb_lab_construct	gb_isolation_source
AB671074	HRC-HE141	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671075	HRC-HE142	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671076	HRC-HE143	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671077	HRC-HE144	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671078	HRC-HE145	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671079	HRC-HE146	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Otaru	false	serum from a blood donor
AB671080	HRC-HE147	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671081	HRC-HE148	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671082	HRC-HE149	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671083	HRC-HE150	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Yoichi	false	serum from a blood donor
AB671084	HRC-HE151	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Yakumo	false	serum from a blood donor
AB671085	HRC-HE152	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671086	HRC-HE153	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Eniwa	false	serum from a blood donor
AB671087	HRC-HE154	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Noboribetsu	false	serum from a blood donor
AB671088	HRC-HE155	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Otaru	false	serum from a blood donor
AB671089	HRC-HE156	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Soya, Esashi	false	serum from a blood donor
AB671090	HRC-HE157	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Kenbuchi	false	serum from a blood donor
AB671091	HRC-HE158	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671092	HRC-HE159	Homo sapiens	2008	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671093	HRC-HE160	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Saroma	false	serum from a blood donor
AB671094	HRC-HE161	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671095	HRC-HE162	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671096	HRC-HE163	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Hakodate	false	serum from a blood donor
AB671097	HRC-HE164	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Ebetsu	false	serum from a blood donor
AB671098	HRC-HE165	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Okhotsk, Monbetsu	false	serum from a blood donor
AB671099	HRC-HE166	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671100	HRC-HE167	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671101	HRC-HE168	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Ebetsu	false	serum from a blood donor
AB671102	HRC-HE169	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Shibetsu	false	serum from a blood donor
AB671103	HRC-HE170	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Kuromatsunai	false	serum from a blood donor
AB671104	HRC-HE171	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Haboro	false	serum from a blood donor
AB671105	HRC-HE172	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671106	HRC-HE173	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671107	HRC-HE174	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671108	HRC-HE175	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671109	HRC-HE176	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671110	HRC-HE177	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Kushiro	false	serum from a blood donor
AB671111	HRC-HE178	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Shiraoi	false	serum from a blood donor
AB671112	HRC-HE179	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671113	HRC-HE180	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Asahikawa	false	serum from a blood donor with elevated ALT level
AB671114	HRC-HE181	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Hakodate	false	serum from a blood donor
AB671115	HRC-HE182	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Eniwa	false	serum from a blood donor
AB671116	HRC-HE183	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671117	HRC-HE184	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Tomakomai	false	serum from a blood donor
AB671118	HRC-HE185	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Hakodate	false	serum from a blood donor
AB671119	HRC-HE186	Homo sapiens	2009	-	-	-	Japan	Hokkaido, Eniwa	false	serum from a blood donor
AB671120	HRC-HE187	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Asahikawa	false	serum from a blood donor
AB671121	HRC-HE188	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Asahikawa	false	serum from a blood donor
AB671122	HRC-HE189	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671123	HRC-HE190	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671124	HRC-HE191	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Yakumo	false	serum from a blood donor
AB671125	HRC-HE192	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671126	HRC-HE193	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671127	HRC-HE194	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Hidaka	false	serum from a blood donor
AB671128	HRC-HE195	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671129	HRC-HE196	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671130	HRC-HE197	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671131	HRC-HE198	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Nayoro	false	serum from a blood donor
AB671132	HRC-HE199	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671133	HRC-HE200	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Chitose	false	serum from a blood donor
AB671134	HRC-HE201	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Otaru	false	serum from a blood donor
AB671135	HRC-HE202	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671136	HRC-HE203	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671137	HRC-HE204	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671138	HRC-HE205	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671139	HRC-HE206	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Asahikawa	false	serum from a blood donor
AB671140	HRC-HE207	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Nayoro	false	serum from a blood donor
AB671141	HRC-HE208	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671142	HRC-HE209	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671143	HRC-HE210	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671144	HRC-HE211	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Noboribetsu	false	serum from a blood donor
AB671145	HRC-HE212	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671146	HRC-HE213	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Asahikawa	false	serum from a blood donor
AB671147	HRC-HE214	Homo sapiens	2010	-	-	-	Japan	Hokkaido, Abira	false	serum from a blood donor
AB671148	HRC-HE215	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671149	HRC-HE216	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Ashibetsu	false	serum from a blood donor
AB671150	HRC-HE217	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Hokuto	false	serum from a blood donor
AB671151	HRC-HE218	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671152	HRC-HE219	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671153	HRC-HE220	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Yoichi	false	serum from a blood donor
AB671154	HRC-HE221	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671155	HRC-HE222	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671156	HRC-HE223	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671157	HRC-HE224	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671158	HRC-HE225	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671159	HRC-HE226	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671160	HRC-HE227	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Asahikawa	false	serum from a blood donor
AB671161	HRC-HE228	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Hakodate	false	serum from a blood donor
AB671162	HRC-HE229	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671163	HRC-HE230	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Rumoi	false	serum from a blood donor
AB671164	HRC-HE231	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB671165	HRC-HE232	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Asahikawa	false	serum from a blood donor
AB671166	HRC-HE233	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Chitose	false	serum from a blood donor
AB671167	HRC-HE234	Homo sapiens	2011	-	-	-	Japan	Hokkaido, Sapporo	false	serum from a blood donor
AB679634	swine-E-050704	-	2005	JUL	4	22847755	Japan	Hokkaido	false	-
AB679635	swine-S-050705	-	2005	JUL	5	22847755	Japan	Hokkaido	false	-
AB679636	swine-C-050624	-	2005	JUN	24	22847755	Japan	Hokkaido	false	-
AB679637	seawater-En-050301	-	2005	MAR	1	22847755	Japan	Hokkaido	false	seawater
AB679638	sewage-Es-080520	-	2008	MAY	20	22847755	Japan	Hokkaido	false	sewage
AB682756	swine-E-050801	-	2005	AUG	1	22847755	Japan	Hokkaido	false	swine
AB683157	hu/p-E-0409	Homo sapiens	2004	-	-	22847755	Japan	Hokkaido	false	-
AB683158	hu/p-E-0503	Homo sapiens	2005	-	-	22847755	Japan	Hokkaido	false	-
AB683159	hu/p-E-0504	Homo sapiens	2005	-	-	22847755	Japan	Hokkaido	false	-
AB683160	hu/p-N-0508	Homo sapiens	2005	-	-	22847755	Japan	Hokkaido	false	-
AB683161	hu/p-E-0509	Homo sapiens	2005	-	-	22847755	Japan	Hokkaido	false	-
AB683162	hu/p-C-0512	Homo sapiens	2005	-	-	22847755	Japan	Hokkaido	false	-
AB683163	hu/p-E-060308	Homo sapiens	2006	-	-	22847755	Japan	Hokkaido	false	-
AB683164	hu/p-E-060323	Homo sapiens	2006	-	-	22847755	Japan	Hokkaido	false	-
AB683165	hu/p-E-0604	Homo sapiens	2006	-	-	22847755	Japan	Hokkaido	false	-
AB683166	hu/p-E-0609	Homo sapiens	2006	-	-	22847755	Japan	Hokkaido	false	-
AB683167	hu/p-E-0702	Homo sapiens	2007	-	-	22847755	Japan	Hokkaido	false	-
AB683168	hu/p-C-0706	Homo sapiens	2007	-	-	22847755	Japan	Hokkaido	false	-
AB683169	hu/p-C-0801	Homo sapiens	2008	-	-	22847755	Japan	Hokkaido	false	-
AB683170	hu/p-E-0807	Homo sapiens	2008	-	-	22847755	Japan	Hokkaido	false	-
AB683171	hu/p-S-0904	Homo sapiens	2009	-	-	22847755	Japan	Hokkaido	false	-
AB683172	hu/p-N-1002	Homo sapiens	2010	-	-	22847755	Japan	Hokkaido	false	-
AB683173	hu/p-S-0912	Homo sapiens	2009	-	-	22847755	Japan	Hokkaido	false	-
AB683174	hu/p-E-1003	Homo sapiens	2010	-	-	22847755	Japan	Hokkaido	false	-
AB683175	hu/p-S-100405	Homo sapiens	2010	-	-	22847755	Japan	Hokkaido	false	-
AB683176	hu/p-S-100406	Homo sapiens	2010	-	-	22847755	Japan	Hokkaido	false	-
AB683177	hu/p-N-1006	Homo sapiens	2010	-	-	22847755	Japan	Hokkaido	false	-
AB683178	hu/p-S-1006A	Homo sapiens	2010	-	-	22847755	Japan	Hokkaido	false	-
AB683179	hu/p-S-1006B	Homo sapiens	2010	-	-	22847755	Japan	Hokkaido	false	-
AB683180	hu/p-S-100615	Homo sapiens	2010	-	-	22847755	Japan	Hokkaido	false	-
AB683181	hu/p-S-100618A	Homo sapiens	2010	-	-	22847755	Japan	Hokkaido	false	-
AB683182	hu/p-S-100618B	Homo sapiens	2010	-	-	22847755	Japan	Hokkaido	false	-
AB683183	hu/p-C-1008	Homo sapiens	2010	-	-	22847755	Japan	Hokkaido	false	-
AB683184	hu/p-C-1009	Homo sapiens	2010	-	-	22847755	Japan	Hokkaido	false	-
AB683185	hu/p-C-1012	Homo sapiens	2010	-	-	22847755	Japan	Hokkaido	false	-
AB683186	hu/p-C-1102	Homo sapiens	2011	-	-	22847755	Japan	Hokkaido	false	-
AB698071	-	-	2000	-	-	-	Japan	Tsukuba	false	liver of a pig with progressive weight loss
AB698654	JTF-Yamagu11	Homo sapiens	2011	MAR	17	-	Japan	Yamaguchi, Shimonoseki	false	serum from a patient
AB714127	YKSF2	Sus scrofa	2011	-	-	-	Indonesia	Yogyakarta	false	swine feces
AB714128	YKSF23	Sus scrofa	2011	-	-	-	Indonesia	Yogyakarta	false	swine feces
AB714129	YKSF24	Sus scrofa	2011	-	-	-	Indonesia	Yogyakarta	false	swine feces
AB714130	YKSF25	Sus scrofa	2011	-	-	-	Indonesia	Yogyakarta	false	swine feces
AB714131	YKSB26	Sus scrofa	2011	-	-	-	Indonesia	Yogyakarta	false	swine sera
AB714132	YKSB51	Sus scrofa	2011	-	-	-	Indonesia	Yogyakarta	false	swine sera
AB714133	YKSB52	Sus scrofa	2011	-	-	-	Indonesia	Yogyakarta	false	swine sera
AB720034	E11-Ban10	Homo sapiens	2010	FEB	10	23703666	Bangladesh	Rajshahi	false	serum from a patient
AB720035	E13-Ban10	Homo sapiens	2010	FEB	11	23703666	Bangladesh	Rajshahi	false	serum from a patient
AB720036	E01-Ban10	Homo sapiens	2010	FEB	4	23703666	Bangladesh	Rajshahi	false	serum from a patient
AB720037	E02-Ban10	Homo sapiens	2010	FEB	6	23703666	Bangladesh	Rajshahi	false	serum from a patient
AB720038	E03-Ban10	Homo sapiens	2010	FEB	6	23703666	Bangladesh	Rajshahi	false	serum from a patient
AB720039	E04-Ban10	Homo sapiens	2010	FEB	8	23703666	Bangladesh	Rajshahi	false	serum from a patient
AB720040	E05-Ban10	Homo sapiens	2010	FEB	8	23703666	Bangladesh	Rajshahi	false	serum from a patient
AB720041	E06-Ban10	Homo sapiens	2010	FEB	8	23703666	Bangladesh	Rajshahi	false	serum from a patient
AB720042	E07-Ban10	Homo sapiens	2010	FEB	8	23703666	Bangladesh	Rajshahi	false	serum from a patient
AB720043	E08-Ban10	Homo sapiens	2010	FEB	8	23703666	Bangladesh	Rajshahi	false	serum from a patient
AB720044	E09-Ban10	Homo sapiens	2010	FEB	9	23703666	Bangladesh	Rajshahi	false	serum from a patient
AB720045	E10-Ban10	Homo sapiens	2010	FEB	9	23703666	Bangladesh	Rajshahi	false	serum from a patient
AB720046	E12-Ban10	Homo sapiens	2010	FEB	10	23703666	Bangladesh	Rajshahi	false	serum from a patient
AB720047	E14-Ban10	Homo sapiens	2010	FEB	11	23703666	Bangladesh	Rajshahi	false	serum from a patient
AB720048	E15-Ban10	Homo sapiens	2010	FEB	11	23703666	Bangladesh	Rajshahi	false	serum from a patient
AB721083	hu/p-C-1012	Homo sapiens	2010	-	-	22847755	Japan	Hokkaido	false	-
AB721084	hu/d-C-1011	Homo sapiens	2010	-	-	22847755	Japan	Hokkaido	false	-
AB721085	hu/p-N-0906	Homo sapiens	2009	-	-	22847755	Japan	Hokkaido	false	-
AB721086	sewage-Es-080520	-	2008	MAY	20	22847755	Japan	Hokkaido	false	sewage
AB725884	-	Rattus norvegicus	2011	-	-	22983110	Indonesia	-	false	serum
AB725885	-	Rattus norvegicus	2011	-	-	22983110	Indonesia	-	false	serum
AB725886	-	Rattus norvegicus	2011	-	-	22983110	Indonesia	-	false	serum
AB725887	-	Rattus norvegicus	2011	-	-	22983110	Indonesia	-	false	serum
AB725888	-	Rattus norvegicus	2011	-	-	22983110	Indonesia	-	false	serum
AB725889	-	Rattus norvegicus	2011	-	-	22983110	Indonesia	-	false	serum
AB725890	-	Rattus norvegicus	2011	-	-	22983110	Indonesia	-	false	serum
AB725891	-	Rattus norvegicus	2011	-	-	22983110	Indonesia	-	false	serum
AB725892	-	Rattus norvegicus	2011	-	-	22983110	Indonesia	-	false	serum
AB725893	-	Rattus norvegicus	2011	-	-	22983110	Indonesia	-	false	serum
AB725894	-	Rattus norvegicus	2011	-	-	22983110	Indonesia	-	false	serum
AB725895	-	Rattus norvegicus	2011	-	-	22983110	Indonesia	-	false	serum
AB725896	-	Rattus norvegicus	2011	-	-	22983110	Indonesia	-	false	serum
AB725897	-	Rattus norvegicus	2011	-	-	22983110	Indonesia	-	false	serum
AB725898	-	Rattus norvegicus	2011	-	-	22983110	Indonesia	-	false	serum
AB725899	-	Rattus norvegicus	2012	-	-	22983110	Indonesia	-	false	serum
AB725900	-	Rattus norvegicus	2012	-	-	22983110	Indonesia	-	false	serum
AB740220	-	Oryctolagus cuniculus	2011	-	-	23041252	China	Inner Mongolia	false	serum
AB740221	-	Oryctolagus cuniculus	2011	-	-	23041252	China	Inner Mongolia	false	serum
AB740222	-	Oryctolagus cuniculus	2011	-	-	23041252	China	Inner Mongolia	false	serum
AB740232	G3-HEV83-2-27	Sus scrofa	-	-	-	23468481	Japan	-	false	porcine liver tissue
AB741083	rbIM001	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741084	rbIM005	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741085	rbIM006	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741086	rbIM007	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741087	rbIM009	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741088	rbIM011	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741089	rbIM012	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741090	rbIM013	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741091	rbIM015	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741092	rbIM017	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741093	rbIM020	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741094	rbIM023	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741095	rbIM024	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741096	rbIM025-c1	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741097	rbIM025-c2	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741098	rbIM027	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741099	rbIM033	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741100	rbIM034	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741101	rbIM035	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741102	rbIM037	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741103	rbIM038	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741104	rbIM040	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741105	rbIM042-c1	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741106	rbIM042-c2	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741107	rbIM043	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741108	rbIM044	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741109	rbIM045-c1	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741110	rbIM045-c2	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741111	rbIM046	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741112	rbIM047	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741113	rbIM048	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741114	rbIM049	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741115	rbIM050	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741116	rbIM051	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741117	rbIM052-c1	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741118	rbIM052-c2	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741119	rbIM053	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741120	rbIM055	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741121	rbIM056-c1	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741122	rbIM056-c2	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741123	rbIM057	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741124	rbIM060	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741125	rbIM061	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741126	rbIM062	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741127	rbIM063-c1	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741128	rbIM063-c2	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741129	rbIM064	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741130	rbIM065	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741131	rbIM066	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741132	rbIM067	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741133	rbIM068	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741134	rbIM070	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741135	rbIM072	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741136	rbIM075	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741137	rbIM076	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741138	rbIM077	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741139	rbIM079	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741140	rbIM080	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741141	rbIM081	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741142	rbIM082	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741143	rbIM084	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741144	rbIM085	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741145	rbIM086	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741146	rbIM087	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741147	rbIM088	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741148	rbIM089-c1	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741149	rbIM089-c2	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741150	rbIM090-c1	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741151	rbIM090-c2	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741152	rbIM091	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741153	rbIM092	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741154	rbIM093	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741155	rbIM094	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741156	rbIM095	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741157	rbIM096	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741158	rbIM097	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741159	rbIM102	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741160	rbIM103	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741161	rbIM104-c1	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741162	rbIM104-c2	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741163	rbIM105	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741164	rbIM108	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741165	rbIM109	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
AB741166	rbIM110	Oryctolagus cuniculus	-	-	-	23041252	China	Inner Mongolia	false	serum
