queryName	genotypeFinalClade	genotypeCladeBalance	genotypeClosestMemberAlignmentName	genotypeClosestMemberSourceName	genotypeClosestMemberSequenceID	subtypeFinalClade	subtypeCladeBalance	subtypeClosestMemberAlignmentName	subtypeClosestMemberSourceName	subtypeClosestMemberSequenceID
ncbi-hev/AB897759	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897760	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897761	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897762	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897763	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897764	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897765	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897766	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897767	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897768	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897769	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897770	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897771	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897772	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897773	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897774	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897775	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897776	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897777	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897778	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897779	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897780	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897781	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB897782	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB898198	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB898199	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB898200	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB898201	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB898202	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB898203	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB898204	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB898205	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AB909124	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4i	AL_4i:78.50%, AL_4g:4.03%, AL_4f:3.39%, AL_4_AB369688:3.20%, AL_4c:3.06%, AL_4e:2.90%, AL_4b:2.47%, AL_4a:2.45%	AL_4i	ncbi-hev	DQ450072
ncbi-hev/AB909125	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4i	AL_4i:80.57%, AL_4g:3.65%, AL_4f:3.06%, AL_4_AB369688:2.89%, AL_4c:2.76%, AL_4e:2.62%, AL_4b:2.23%, AL_4a:2.21%	AL_4i	ncbi-hev	DQ450072
ncbi-hev/AB909405	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4f:22.63%, AL_4c:32.10%, AL_4h:12.24%, AL_4g:10.53%, AL_4_AB369688:7.27%, AL_4e:4.12%, AL_4i:2.99%, AL_4b:2.78%, AL_4a:2.76%, AL_4d:2.58%	-	-	-
ncbi-hev/AB909406	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:40.04%, AL_4f:21.33%, AL_4h:13.09%, AL_4g:8.67%, AL_4_AB369688:6.75%, AL_4e:2.62%, AL_4i:2.31%, AL_4b:2.23%, AL_4a:2.21%, AL_4d:0.75%	-	-	-
ncbi-hev/AB909407	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4f:22.51%, AL_4c:29.88%, AL_4h:11.63%, AL_4g:12.48%, AL_4_AB369688:7.50%, AL_4e:4.16%, AL_4i:3.12%, AL_4b:3.02%, AL_4a:2.99%, AL_4d:2.71%	-	-	-
ncbi-hev/AB909408	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3_AB369689:43.12%, AL_3a:23.86%, AL_3b:21.87%, AL_3j:11.16%	-	-	-
ncbi-hev/AB909409	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4f:22.79%, AL_4c:28.77%, AL_4h:11.89%, AL_4g:12.14%, AL_4_AB369688:7.71%, AL_4e:4.36%, AL_4i:3.23%, AL_4b:3.12%, AL_4a:3.09%, AL_4d:2.90%	-	-	-
ncbi-hev/AB909410	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4f:22.51%, AL_4c:29.88%, AL_4h:11.63%, AL_4g:12.48%, AL_4_AB369688:7.50%, AL_4e:4.16%, AL_4i:3.12%, AL_4b:3.02%, AL_4a:2.99%, AL_4d:2.71%	-	-	-
ncbi-hev/AB909411	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:54.11%, AL_4f:15.91%, AL_4h:12.50%, AL_4g:6.35%, AL_4_AB369688:4.97%, AL_4e:2.86%, AL_4i:0.86%, AL_4b:0.83%, AL_4a:0.83%, AL_4d:0.78%	-	-	-
ncbi-hev/AB909412	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:54.41%, AL_4f:16.38%, AL_4h:10.81%, AL_4g:6.29%, AL_4_AB369688:4.87%, AL_4e:2.90%, AL_4i:1.15%, AL_4b:1.11%, AL_4a:1.10%, AL_4d:0.98%	-	-	-
ncbi-hev/AB909413	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:54.03%, AL_4f:17.88%, AL_4h:11.72%, AL_4g:7.33%, AL_4_AB369688:5.77%, AL_4e:1.74%, AL_4i:1.54%	-	-	-
ncbi-hev/AB909414	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:54.03%, AL_4f:17.88%, AL_4h:11.72%, AL_4g:7.33%, AL_4_AB369688:5.77%, AL_4e:1.74%, AL_4i:1.54%	-	-	-
ncbi-hev/AB909415	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4f:21.04%, AL_4c:30.30%, AL_4h:10.67%, AL_4g:14.35%, AL_4_AB369688:7.23%, AL_4e:3.80%, AL_4i:3.31%, AL_4b:3.19%, AL_4a:3.17%, AL_4d:2.96%	-	-	-
ncbi-hev/AB909416	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4f:21.04%, AL_4c:30.30%, AL_4h:10.67%, AL_4g:14.35%, AL_4_AB369688:7.23%, AL_4e:3.80%, AL_4i:3.31%, AL_4b:3.19%, AL_4a:3.17%, AL_4d:2.96%	-	-	-
ncbi-hev/AB909417	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4f:21.04%, AL_4c:30.30%, AL_4h:10.67%, AL_4g:14.35%, AL_4_AB369688:7.23%, AL_4e:3.80%, AL_4i:3.31%, AL_4b:3.19%, AL_4a:3.17%, AL_4d:2.96%	-	-	-
ncbi-hev/AB909418	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4f:21.04%, AL_4c:30.30%, AL_4h:10.67%, AL_4g:14.35%, AL_4_AB369688:7.23%, AL_4e:3.80%, AL_4i:3.31%, AL_4b:3.19%, AL_4a:3.17%, AL_4d:2.96%	-	-	-
ncbi-hev/AB909419	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:51.29%, AL_4f:17.28%, AL_4h:11.19%, AL_4g:6.76%, AL_4_AB369688:5.26%, AL_4e:3.15%, AL_4i:1.33%, AL_4b:1.28%, AL_4a:1.27%, AL_4d:1.19%	-	-	-
ncbi-hev/AB909420	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:51.29%, AL_4f:17.28%, AL_4h:11.19%, AL_4g:6.76%, AL_4_AB369688:5.26%, AL_4e:3.15%, AL_4i:1.33%, AL_4b:1.28%, AL_4a:1.27%, AL_4d:1.19%	-	-	-
ncbi-hev/AB909421	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1f	AL_1f:85.54%, AL_1a:12.47%, AL_1b:1.09%, AL_1c:0.79%, AL_1e:0.06%, AL_1d:0.05%	AL_1f	ncbi-hev	JF443721
ncbi-hev/AB909422	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:69.48%, AL_3a:11.55%, AL_3_AB369689:10.42%, AL_3j:8.56%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB909423	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:93.91%, AL_3a:2.33%, AL_3_AB369689:2.08%, AL_3j:1.67%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB909424	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4g:46.03%, AL_4_AB369688:8.83%, AL_4f:11.70%, AL_4c:12.10%, AL_4e:3.82%, AL_4h:6.16%, AL_4i:3.36%, AL_4b:3.25%, AL_4a:2.61%, AL_4d:2.14%	-	-	-
ncbi-hev/AB909425	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:92.67%, AL_3a:2.83%, AL_3_AB369689:2.51%, AL_3j:2.00%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB915403	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4i	AL_4i:89.52%, AL_4g:1.73%, AL_4f:1.42%, AL_4_AB369688:1.32%, AL_4c:1.25%, AL_4e:1.18%, AL_4b:0.98%, AL_4a:0.97%, AL_4d:0.90%, AL_4h:0.74%	AL_4i	ncbi-hev	DQ450072
ncbi-hev/AB919129	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:74.16%, AL_4b:7.72%, AL_4e:5.64%, AL_4a:4.72%, AL_4g:4.18%, AL_4f:3.58%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/AB919130	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:74.54%, AL_4b:8.75%, AL_4e:6.45%, AL_4a:5.43%, AL_4g:4.83%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/AB919131	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4d:49.94%, AL_4b:11.52%, AL_4e:8.10%, AL_4a:6.67%, AL_4g:5.84%, AL_4f:4.93%, AL_4_AB369688:4.64%, AL_4c:4.44%, AL_4i:3.71%, AL_4h:0.22%	-	-	-
ncbi-hev/AB919132	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:76.14%, AL_4b:8.25%, AL_4e:6.03%, AL_4a:5.07%, AL_4g:4.50%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/AB919133	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:84.50%, AL_4b:6.56%, AL_4e:4.85%, AL_4a:4.09%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/AB919134	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:83.50%, AL_3j:6.68%, AL_3b:4.94%, AL_3_AB369689:4.89%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB919135	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:82.54%, AL_3j:7.03%, AL_3b:5.24%, AL_3_AB369689:5.19%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB919136	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:78.61%, AL_3j:8.59%, AL_3b:6.40%, AL_3_AB369689:6.31%, AL_3i:0.04%, AL_3h:0.03%, AL_3_AB290312:0.03%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB919137	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:74.01%, AL_3j:9.93%, AL_3b:7.75%, AL_3_AB369689:7.68%, AL_3i:0.27%, AL_3h:0.10%, AL_3_AB290312:0.09%, AL_3_JQ953664:0.09%, AL_3c:0.08%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB919138	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:76.13%, AL_3j:9.48%, AL_3b:7.21%, AL_3_AB369689:7.11%, AL_3i:0.07%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB919139	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:54.08%, AL_3a:15.64%, AL_3_AB369689:10.52%, AL_3j:18.10%, AL_3i:1.65%	-	-	-
ncbi-hev/AB925997	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:75.05%, AL_3_AB290313:6.47%, AL_3f:10.02%, AL_3_KJ873911:4.24%, AL_3_EU360977:4.21%	AL_3e	ncbi-hev	AB248521
ncbi-hev/AB925998	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:70.77%, AL_3a:10.79%, AL_3_AB369689:9.38%, AL_3j:7.20%, AL_3i:1.86%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB933543	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:66.27%, AL_3j:12.75%, AL_3b:9.57%, AL_3_AB369689:9.57%, AL_3i:1.78%, AL_3h:0.03%, AL_3_AB290312:0.03%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB933544	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3a:54.51%, AL_3j:15.86%, AL_3b:13.40%, AL_3_AB369689:13.61%, AL_3i:2.62%	-	-	-
ncbi-hev/AB933545	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3a:52.53%, AL_3j:16.74%, AL_3b:14.62%, AL_3_AB369689:14.89%, AL_3i:1.22%	-	-	-
ncbi-hev/AB933546	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:66.27%, AL_3j:12.75%, AL_3b:9.57%, AL_3_AB369689:9.57%, AL_3i:1.78%, AL_3h:0.03%, AL_3_AB290312:0.03%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB933547	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:63.71%, AL_3j:13.48%, AL_3b:10.39%, AL_3_AB369689:10.42%, AL_3i:2.00%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB933548	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3a:53.07%, AL_3j:16.62%, AL_3b:14.44%, AL_3_AB369689:14.70%, AL_3i:1.17%	-	-	-
ncbi-hev/AB933549	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3a:54.51%, AL_3j:15.86%, AL_3b:13.40%, AL_3_AB369689:13.61%, AL_3i:2.62%	-	-	-
ncbi-hev/AB933550	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3a:54.51%, AL_3j:15.86%, AL_3b:13.40%, AL_3_AB369689:13.61%, AL_3i:2.62%	-	-	-
ncbi-hev/AB933551	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3a:54.51%, AL_3j:15.86%, AL_3b:13.40%, AL_3_AB369689:13.61%, AL_3i:2.62%	-	-	-
ncbi-hev/AB933552	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3a:54.51%, AL_3j:15.86%, AL_3b:13.40%, AL_3_AB369689:13.61%, AL_3i:2.62%	-	-	-
ncbi-hev/AB971723	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:90.22%, AL_3j:3.96%, AL_3b:2.69%, AL_3_AB369689:2.66%, AL_3i:0.47%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB971724	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:31.62%, AL_3a:23.00%, AL_3_AB369689:25.83%, AL_3j:15.03%, AL_3i:3.38%, AL_3h:0.31%, AL_3_AB290312:0.29%, AL_3_JQ953664:0.27%, AL_3c:0.26%	-	-	-
ncbi-hev/AB971725	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3_AB369689:29.54%, AL_3a:28.53%, AL_3b:19.89%, AL_3j:18.16%, AL_3i:2.59%, AL_3h:0.46%, AL_3_AB290312:0.43%, AL_3_JQ953664:0.40%	-	-	-
ncbi-hev/AB971726	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3_AB369689:26.74%, AL_3a:30.22%, AL_3b:19.50%, AL_3j:18.88%, AL_3i:2.73%, AL_3h:0.54%, AL_3_AB290312:0.50%, AL_3_JQ953664:0.46%, AL_3c:0.44%	-	-	-
ncbi-hev/AB971727	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:73.61%, AL_3a:9.82%, AL_3_AB369689:8.49%, AL_3j:6.46%, AL_3i:1.61%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB971728	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3_AB369689:31.58%, AL_3a:27.34%, AL_3b:19.66%, AL_3j:17.63%, AL_3i:1.78%, AL_3h:0.87%, AL_3_AB290312:0.81%, AL_3_JQ953664:0.17%, AL_3c:0.17%	-	-	-
ncbi-hev/AB971729	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3_AB369689:30.84%, AL_3a:26.73%, AL_3b:20.70%, AL_3j:18.11%, AL_3i:1.42%, AL_3h:0.94%, AL_3_AB290312:0.88%, AL_3_JQ953664:0.19%, AL_3c:0.18%	-	-	-
ncbi-hev/AB971730	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:80.27%, AL_3j:8.16%, AL_3b:5.82%, AL_3_AB369689:5.75%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB971731	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:75.64%, AL_3j:9.68%, AL_3b:6.73%, AL_3_AB369689:6.65%, AL_3i:1.31%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB971732	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:86.26%, AL_3j:5.72%, AL_3b:4.04%, AL_3_AB369689:3.99%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB971733	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:51.74%, AL_3a:16.45%, AL_3_AB369689:15.71%, AL_3j:10.28%, AL_3i:2.32%, AL_3h:1.54%, AL_3_AB290312:1.44%, AL_3_JQ953664:0.28%, AL_3c:0.24%	-	-	-
ncbi-hev/AB971734	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:80.57%, AL_3a:7.58%, AL_3_AB369689:6.65%, AL_3j:5.19%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB971735	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:43.51%, AL_4f:19.33%, AL_4h:14.63%, AL_4g:7.42%, AL_4_AB369688:5.75%, AL_4e:3.42%, AL_4i:1.56%, AL_4b:1.50%, AL_4a:1.49%, AL_4d:1.39%	-	-	-
ncbi-hev/AB971736	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3_AB369689:59.63%, AL_3a:14.67%, AL_3b:12.92%, AL_3j:9.83%, AL_3i:2.94%	-	-	-
ncbi-hev/AB971737	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:79.92%, AL_3a:7.45%, AL_3_AB369689:6.45%, AL_3j:4.93%, AL_3i:1.25%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB971738	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3_AB369689:58.98%, AL_3a:15.20%, AL_3b:13.25%, AL_3j:9.85%, AL_3i:2.72%	-	-	-
ncbi-hev/AB971739	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:92.86%, AL_3j:2.94%, AL_3b:2.12%, AL_3_AB369689:2.09%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB971740	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4h:29.79%, AL_4c:24.69%, AL_4f:21.05%, AL_4g:6.55%, AL_4_AB369688:5.03%, AL_4e:2.97%, AL_4i:2.60%, AL_4b:2.50%, AL_4a:2.49%, AL_4d:2.32%	-	-	-
ncbi-hev/AB971741	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:90.82%, AL_3j:3.61%, AL_3b:2.54%, AL_3_AB369689:2.51%, AL_3i:0.50%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB971742	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:89.04%, AL_3j:4.38%, AL_3b:2.92%, AL_3_AB369689:2.88%, AL_3i:0.47%, AL_3h:0.32%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB971743	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4h:20.38%, AL_4c:28.08%, AL_4f:25.87%, AL_4g:7.02%, AL_4_AB369688:5.34%, AL_4e:3.07%, AL_4i:2.69%, AL_4b:2.58%, AL_4a:2.57%, AL_4d:2.39%	-	-	-
ncbi-hev/AB971744	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:51.25%, AL_3a:17.49%, AL_3_AB369689:14.73%, AL_3j:10.18%, AL_3i:1.92%, AL_3h:1.23%, AL_3_AB290312:1.15%, AL_3_JQ953664:1.05%, AL_3c:1.00%	-	-	-
ncbi-hev/AB979278	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:83.61%, AL_3a:6.29%, AL_3_AB369689:5.60%, AL_3j:4.49%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB979279	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:74.66%, AL_3j:10.41%, AL_3b:7.51%, AL_3_AB369689:7.42%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB979280	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:85.29%, AL_3a:5.46%, AL_3_AB369689:4.73%, AL_3j:3.61%, AL_3i:0.91%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB979281	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:99.26%, AL_3j:0.30%, AL_3b:0.20%, AL_3_AB369689:0.20%, AL_3i:0.03%, AL_3h:0.02%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB979282	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:85.65%, AL_3a:5.52%, AL_3_AB369689:4.91%, AL_3j:3.92%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB979283	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:74.40%, AL_3a:9.66%, AL_3_AB369689:8.28%, AL_3j:6.21%, AL_3i:1.45%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB979284	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:75.85%, AL_3j:9.81%, AL_3b:7.21%, AL_3_AB369689:7.13%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AB979285	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:53.20%, AL_3a:16.96%, AL_3_AB369689:15.02%, AL_3j:11.38%, AL_3i:1.14%, AL_3h:0.65%, AL_3_AB290312:0.60%, AL_3_JQ953664:0.54%, AL_3c:0.52%	-	-	-
ncbi-hev/AB979286	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:87.21%, AL_3a:4.70%, AL_3_AB369689:4.01%, AL_3j:2.97%, AL_3i:0.67%, AL_3h:0.45%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB986068	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986069	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.09%, AL_1f:15.63%, AL_1b:7.70%, AL_1c:5.71%, AL_1e:0.49%, AL_1d:0.38%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986070	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986071	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986072	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986073	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.09%, AL_1f:15.63%, AL_1b:7.70%, AL_1c:5.71%, AL_1e:0.49%, AL_1d:0.38%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986074	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986075	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986076	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986077	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.09%, AL_1f:15.63%, AL_1b:7.70%, AL_1c:5.71%, AL_1e:0.49%, AL_1d:0.38%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986078	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986079	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
